Rank,Company,City,Country,Funding,Industry,Employees,Revenue,Growth %
153,POWER Sverige,Stockholm,SWE,,Computers ...,382,$0,607%
154,Aptos,Silicon Va...,USA,$350M,Fintech,280,$39.1M,31%
155,Locus Robotics,Boston,USA,$438M,Industrial,478,$214.3M,3%
156,Drata,San Diego,USA,$328M,IT Securit...,610,$158M,31%
157,Divergent 3D,Los Angele...,USA,$578M,3D,286,$52.3M,21%
158,Origis Energy,Miami,USA,$149M,Environmen...,210,$47.4M,20%
159,NYMBUS,Jacksonvil...,USA,$195M,Fintech,267,$37.3M,5%
160,Alchemy,San Franci...,USA,$564M,Fintech,438,$72.3M,28%
161,Peroptyx,Castlebar,,$3.93M,AI,281,$43.3M,574%
162,Epique Realty,Austin,USA,,Real Estat...,558,$104.6M,635%
163,Bechtle PLM,Berlin,Germany,,Software,348,$69.6M,582%
164,Dark Matter Tec...,Jacksonvil...,USA,,Software,545,$109M,622%
165,Monte Carlo,San Franci...,USA,$236M,Analytics,395,$69.2M,19%
166,Monroe Capital,Chicago,USA,$34M,Finance,245,$24.7M,4%
167,Arcadia,Washington...,USA,$554M,Environmen...,719,$215.9M,0%
168,MPOWER Financin...,Washington...,USA,$156M,Fintech,337,$55.6M,30%
169,Vanta,San Franci...,USA,$203M,Tech Servi...,546,$100.5M,33%
170,Traba,Miami,USA,$45.6M,HRTech,119,$16.7M,135%
171,Material Securi...,Silicon Va...,USA,$166M,Tech Servi...,130,$18.9M,80%
172,Antithesis,Washington...,USA,$47M,DevOps,54,$6.6M,19%
173,Helm.ai,Silicon Va...,USA,$124M,AI,95,$13.3M,48%
174,UpStack,,,$51.8M,Tech Servi...,192,$24.2M,9%
175,Fireblocks,New York C...,USA,$1.04B,Fintech,721,$108.3M,18%
176,Stability AI,London,UK,$126M,AI,221,$33.3M,45%
177,CAIS,New York C...,USA,$619M,Fintech,436,$72M,12%
178,Iteris,Orange Cou...,USA,$6.5M,SaaS,641,$42M,3%
179,Abridge,Pittsburgh,USA,,Digital He...,89,$12.5M,145%
180,Jobs For The Fu...,Boston,USA,$10M,Education,648,$148.1M,14%
181,Coalition,San Franci...,USA,$770M,Fintech,684,$112.9M,13%
182,Transcarent,San Franci...,USA,$298M,Digital He...,375,$66.7M,30%
183,Tarana Wireless,Silicon Va...,USA,$426M,Wireless,465,$206.7M,10%
184,Installed Build...,Columbus,USA,$250M,Constructi...,492,$1.9B,3%
185,Astera Labs,Silicon Va...,USA,$232M,Semiconduc...,294,$86.9M,36%
186,ICON,Austin,USA,$443M,3D,547,$118.1M,22%
187,SingleStore,San Franci...,USA,$558M,Analytics,512,$91M,5%
188,Aleo,Reno,USA,$228M,DevOps,125,$17.5M,40%
189,Payhawk,London,UK,$239M,Fintech,338,$55.8M,25%
190,Fantasy Springs...,Indio,USA,,Casinos,550,$15M,1%
191,Anyword,New York C...,USA,$30M,Marketing,247,$66.4M,434%
192,Axonius,New York C...,USA,$595M,IT Securit...,621,$160.9M,31%
193,BlueVoyant,New York C...,USA,$696M,IT Securit...,650,$168.4M,2%
194,Unit,San Franci...,USA,$170M,Fintech,249,$34.8M,22%
195,BlackRifle Co,Dallas,USA,,Advertisin...,316,$0,508%
196,The Boring Comp...,Los Angele...,USA,$908M,Transporta...,425,$177M,29%
197,Niron Magnetics,Minneapoli...,USA,,Technology,68,$12.4M,76%
198,Swiftly,San Franci...,USA,$220M,AdTech,196,$33.7M,15%
199,REGENT Craft,Boston,USA,$94.5M,Maritime,187,$54.5M,72%
200,LiveGood Inc. U...,Jupiter,USA,,Retail Hea...,492,$0,523%
201,StorageMart,New York C...,USA,,Real Estat...,333,$57.6M,7%
202,Magic Eden,Silicon Va...,USA,$157M,Fintech,155,$21.7M,9%
203,Sentry,San Franci...,USA,$217M,Analytics,401,$69.5M,20%
204,prezent.ai,Silicon Va...,USA,$24.3M,Tech Servi...,188,$29.3M,61%
205,Pano,San Franci...,USA,$45M,AI,100,$14M,58%
206,Taxi,,New Zealand,,Finance,442,$112.9M,477%
207,EvolutionIQ,New York C...,USA,$33.1M,Analytics,162,$24.4M,56%
208,WASTE PRO USA,Wekiwa Spr...,USA,$22.7M,Utilities,68,$13M,27%
209,Microvast,Houston,USA,$430M,Electronic...,272,$225M,40%
210,Dusty Robotics,Silicon Va...,USA,$69M,Constructi...,121,$29M,59%
211,Weka.IO,Silicon Va...,USA,$275M,AI,405,$72M,16%
212,M Culinary Conc...,Phoenix,USA,,Events,166,$33.6M,22%
213,Flywheel.io,Minneapoli...,USA,$110M,Analytics,181,$27.2M,18%
215,May Mobility,Detroit,USA,$383M,Automotive,357,$149.6M,4%
216,Sayari Labs,Washington...,USA,$64.8M,Tech Servi...,194,$30.2M,17%
217,Jetti Resources,Boulder,USA,$100M,Mining,54,$11.5M,13%
218,Stenn,London,UK,$50M,Finance,274,$61.9M,44%
219,Claroty,New York C...,USA,$50M,IT Securit...,559,$144.8M,52%
220,Main home,Boston,USA,,Environmen...,62,$11.7M,37%
221,Fabric,Seattle,USA,$293M,eCommerceT...,525,$93.3M,19%
222,Fleet Device Ma...,San Franci...,USA,$7M,IT Securit...,60,$10.6M,36%
223,Whatnot,Los Angele...,USA,$485M,eCommerce,979,$195.8M,30%
224,Bank Novo,New York C...,USA,$298M,Fintech,437,$68.8M,3%
225,Uniqus Consulte...,Mumbai,,$22.5M,Consulting,310,$86.6M,392%
226,Clayton Dubilie...,New York C...,USA,,Finance,303,$80.8M,20%
227,Circus Circus L...,Las Vegas,USA,,Hospitalit...,266,$65.9M,23%
228,Front Office Sp...,New York C...,USA,,Media,279,$62.9M,443%
229,CommerceIQ,Silicon Va...,USA,$196M,Tech Servi...,579,$104.9M,25%
230,St. Croix Hospi...,Minneapoli...,USA,,Hospital/H...,839,$317.1M,13%
231,Hayden AI,East Bay,USA,,AI,123,$17.2M,29%
232,HealthSnap,Miami,USA,,Analytics,126,$17.6M,139%
233,Tally Technolog...,San Franci...,USA,$172M,Fintech,269,$37.6M,51%
234,Brightline Trai...,Miami,USA,$217M,Transporta...,468,$191.9M,27%
235,Cymulate,Tel Aviv,Israel,$141M,Informatio...,240,$32.3M,7%
236,Sourcepass,New York C...,USA,$135M,SaaS,359,$62.8M,33%
237,Zilch,Victoria,UK,$390M,Fintech,281,$39.3M,17%
238,Abnormal Securi...,San Franci...,USA,$285M,IT Securit...,778,$100M,36%
239,Clearlake Capit...,Los Angele...,USA,,Investment...,131,$27M,9%
240,Cresta,San Franci...,USA,$151M,AI,255,$38.4M,25%
241,Rio All-Suite H...,Las Vegas,USA,$1.7B,Casinos,285,$8.4B,42%
242,AppOmni,San Franci...,USA,$123M,IT Securit...,229,$50.2M,27%
243,Atlan,New York C...,USA,$96.6M,Tech Servi...,340,$60.5M,30%
244,MAI Capital Man...,Cleveland,USA,,Finance,377,$95.2M,6%
245,Balance,San Franci...,USA,$87M,Fintech,108,$14M,10%
246,Leeward Renewab...,Dallas,USA,$545M,Environmen...,394,$103.4M,23%
247,Cirkul,Orlando,USA,$112M,Food,495,$167.1M,71%
248,Join ZOE,London,UK,$21.3M,Tech Servi...,529,$95.9M,57%
249,Optimism,New York C...,USA,$175M,Fintech,111,$8.1M,36%
