Rank,Company,City,Country,Funding,Industry,Employees,Revenue,Growth %
4282,FCA,Moline,USA,,Packaging,192,$35M,11%
4283,15below,Brighton,UK,,Aviation,118,$29M,11%
4284,Tyson and Mende...,San Diego,USA,,Legal,448,$151.2M,20%
4285,Doctify,London,UK,,Digital He...,146,$22.5M,12%
4286,Fleet Science C...,San Diego,USA,,Museums,174,$15M,11%
4287,MGT Consulting ...,Orlando,USA,,Consulting,437,$122.1M,19%
4288,FÃ©lix and Paul...,,CAN,,3D,100,$17M,11%
4289,Red Engine Team,London,UK,,Hospitalit...,156,$43.6M,12%
4290,Nativo,Los Angele...,USA,$59.1M,Marketing,212,$46.5M,12%
4291,110 Grill,Boston,USA,,Restaurant...,506,$110.7M,9%
4292,Prager Metis CP...,New York C...,USA,,Accounting,497,$101.3M,5%
4293,PQE,Jacksonvil...,USA,,Retail,63,$12.9M,11%
4294,Aldinger Compan...,Dallas,USA,,Supplies,63,$7.5M,9%
4295,FIA Tech,New York C...,USA,,Finance,119,$25M,11%
4296,Gather Health,,,$15M,Hospital/H...,24,$0,41%
4297,MOLTEN,Boston,,$7M,Tech Servi...,48,$5.3M,44%
4298,Oova,New York C...,USA,,Analytics,24,$2.4M,38%
4299,ImageTrend,Minneapoli...,USA,,Tech Servi...,307,$55.6M,15%
4300,Greenheck Group,Schofield,USA,,Engineerin...,602,$75.3M,29%
4301,KarmaCheck,San Franci...,USA,,Tech Servi...,93,$13.5M,82%
4302,Applied Optoele...,Houston,USA,$90.5M,Telecom,298,$104.1M,12%
4303,Iuec Local,San Diego,USA,,Consumer,192,$53M,83%
4304,Intaker,Los Angele...,USA,,Tech Servi...,34,$3.9M,120%
4305,Signify Health ...,Galway,Ireland,,Hospital/H...,34,$0,113%
4306,Cultivate Initi...,Portland,USA,,Nonprofit,34,$0,108%
4307,Perfect Day Gam...,,USA,,Entertainm...,34,$5.6M,115%
4308,Boston Universi...,Boston,USA,,Education,34,$4.9M,115%
4309,ACLE Services P...,Camberwell,Australia,,Services f...,51,$0,113%
4310,InternetShine,Las Vegas,,,Tech Servi...,34,$3.9M,120%
4311,Look,New York C...,USA,,Advertisin...,51,$0,113%
4312,Charles Riley P...,Memphis,USA,,Restaurant...,34,$4.8M,115%
4313,MPP Global,Cudahy,USA,,Manufactur...,34,$0,108%
4314,Designership,Sydney,AUS,,Technology...,34,$0,113%
4315,Advantage Home ...,St Louis,USA,,Home Healt...,51,$0,113%
4316,Sinn Studio,Toronto,CAN,,Entertainm...,34,$5.6M,115%
4317,Kids Mart,St Peters,USA,,Education,51,$8.3M,110%
4318,Conformal Medic...,Nashua,USA,,Medical Eq...,55,$13.8M,41%
4319,Vigil Neuroscie...,Boston,USA,$140M,Pharma,80,$7.6M,25%
4320,Tommy's Express...,Holland,USA,,Consumer,639,$200.5M,29%
4321,YKK AP America,Atlanta,USA,,Materials,476,$191M,5%
4322,Prehos,Quebec Cit...,CAN,,Digital He...,31,$3.5M,40%
4323,1-800 Water Dam...,Detroit,USA,,Facilities,188,$49.4M,11%
4324,Sarnova IncSarn...,Dublin,USA,,Hospital/H...,461,$155.6M,5%
4325,Poulos and Benn...,Orlando,USA,,Engineerin...,68,$6.1M,7%
4326,Northwest Kidne...,Seattle,USA,,Hospital/H...,528,$130.9M,8%
4327,Attralus,,,,Biotech,38,$5.9M,41%
4328,One World Globa...,San Franci...,USA,,Translatio...,455,$0,91%
4329,Grocery Alcohol...,United Kin...,,,Retail,113,$25.7M,11%
4330,Studio Three,Chicago,USA,,Health,113,$30.5M,11%
4331,Resilinc,Silicon Va...,USA,$15M,Logistics,353,$136.7M,15%
4332,Compass Systems...,Barberton,USA,,Engineerin...,65,$5.8M,10%
4333,Rhythm Pharmace...,Boston,USA,$84M,Biotech,300,$5.9M,26%
4334,Village Enterpr...,Silicon Va...,USA,,NonProfit,416,$3.5M,19%
4335,Ohana Real Esta...,Silicon Va...,USA,,Real Estat...,75,$9.4M,10%
4336,TechPlusTalent,New York C...,USA,,Tech Servi...,53,$6.9M,113%
4337,Sphere Digital ...,London,UK,,Recruiting,144,$19M,83%
4338,D and H Petrole...,San Antoni...,USA,,Energy/Oil,308,$94.3M,15%
4339,Stynt,Boston,USA,,HRTech,485,$84.9M,90%
4340,Polymedco,Cortlandt ...,USA,,Medical Eq...,134,$33.6M,11%
4341,TeamDynamix,Columbus,USA,,Tech Servi...,134,$19.4M,11%
4342,Haosou,åŒ—äº¬å¸‚,,,Tech Servi...,186,$29.7M,83%
4343,PayJoy,San Franci...,USA,$204M,Fintech,989,$183.9M,19%
4344,ShowTime Consul...,Hyderabad,IND,,Consulting,405,$55.7M,90%
4345,New-E,Lyon,France,,Consulting,36,$6.3M,120%
4346,TRANSFORM VC,San Franci...,USA,,Venture Ca...,36,$0,112%
4347,TheIncLab,Washington...,USA,,Tech Servi...,36,$4.2M,119%
4348,ProGathers,Chicago,USA,,Events,36,$5.9M,106%
4349,GLS/NXT,Berlin,Germany,,Transporta...,36,$9.4M,115%
4350,Biz Millennium,Mumbai,IND,,Think Tank...,36,$0,113%
4351,Ecopol,Capannori,,,Plastics,136,$0,11%
4352,Terra Mining Pt...,West Perth,Australia,,Mining,89,$21.8M,82%
4353,NRH2O Family Wa...,North Rich...,,,Entertainm...,48,$7.9M,11%
4354,GFO-X,London,UK,,Fintech,77,$10M,9%
4355,Keepit,Copenhagen,Denmark,,Tech Servi...,386,$70M,14%
4356,FireCompass,Boston,USA,,SaaS,87,$12.2M,9%
4357,PG,Stokke,Norway,,Wholesale ...,55,$0,112%
4358,DFF (Dutch Foun...,Amsterdam,Netherlands,,Venture Ca...,55,$0,112%
4359,Stellar Omada,Edinburgh,UK,,Tech Servi...,127,$18.4M,10%
4360,Creative Force,San Diego,USA,,Tech Servi...,137,$19.9M,11%
4361,Medisolv,Columbia,USA,,Hospital/H...,157,$46.6M,11%
4362,Morgan Sindall ...,Rugby,uk,,Engineerin...,450,$56.3M,90%
4363,Bark.us,Atlanta,USA,$67M,Tech Servi...,125,$16.8M,9%
4364,Mia Aesthetics ...,Miami,USA,,Medical Of...,297,$88.2M,11%
4365,Zaelab,Westport,USA,,Tech Servi...,129,$18.7M,8%
4366,Lumen Energy,,,,Energy/Oil,42,$8.2M,39%
4367,Nilus,New York C...,,,Finance,42,$6.7M,38%
4368,Davinci Micro F...,Bound Broo...,USA,,Warehousin...,35,$0,40%
4369,Arrive,Los Angele...,,$65.3M,Consumer,35,$6.7M,38%
4370,Phyla,San Franci...,USA,$575K,Biotech,28,$2.2M,44%
4371,AirEx,London,UK,,Utilities,35,$6.2M,42%
4372,Advanced Naviga...,Sydney,AUS,,Electronic...,188,$50.7M,11%
4373,Erewhon,Los Angele...,USA,,Food,575,$194.1M,22%
4374,Coco,,,,Tech Servi...,525,$95.2M,22%
4375,TSK Architects,Las Vegas,USA,,Architectu...,68,$19.8M,9%
4376,Arduino,New York C...,USA,,Electronic...,465,$142.4M,19%
4377,ILLUMINE i,East Bay,IND,,Environmen...,317,$41.6M,14%
4378,7Span,Gandhinaga...,IN,,Tech Servi...,306,$55.5M,85%
4379,Carbon Engineer...,Squamish,CAN,$110M,Environmen...,169,$38.2M,10%
4380,FLX Networks,New York C...,,$12.5M,Finance,59,$10.8M,12%
4381,JVS Boston,Boston,USA,,Social Ser...,334,$41.8M,14%
4382,AppOrchid,East Bay,USA,$12.7M,Tech Servi...,139,$20.2M,10%
4383,Volunteers of A...,Sheridan,USA,,NonProfit,129,$15M,10%
4384,Mr Greens Produ...,Miami,USA,,Food,231,$68.6M,11%
4385,prisma Photonic...,Tel Aviv,Israel,,Energy/Oil,89,$21.8M,10%
4386,Commsignia,Silicon Va...,USA,$27M,Automotive,144,$51.1M,5%
4387,Concept Resourc...,Dudley,UK,,Recruiting,191,$25.2M,10%
4388,Scale Computing,Indianapol...,USA,$215M,Tech Servi...,209,$32.6M,10%
4389,Headlands Resea...,San Franci...,USA,,Research,120,$12.2M,10%
4390,Velocity Trade,Toronto,CAN,,Finance,212,$49M,11%
4391,SJW Group,Silicon Va...,,,Utilities,559,$156.2M,7%
4392,Kota,Dublin,IE,,Finance,38,$6.4M,113%
4393,Eigen Labs,,USA,,Software,57,$8.2M,115%
4394,Admin By Reques...,San Franci...,USA,,Software,38,$4.9M,106%
4395,BlueNotary,Chicago,USA,,Software,57,$8.2M,115%
4396,Piekarnie Cukie...,Jawczyce,Poland,,Baked Good...,57,$0,111%
4397,perfect group L...,Los Angele...,USA,,Constructi...,38,$8.8M,108%
4398,Constellation C...,Luxembourg,Luxembourg,,Logistics,38,$9.3M,106%
4399,Evergreen Money,Miami,USA,,Finance,38,$6.4M,113%
4400,Banditos Tacos ...,,USA,,Restaurant...,38,$5.3M,113%
4401,V1 Michigan,Detroit,USA,,Software,38,$4.9M,106%
4402,DLT Finance AG,Frankfurt,Germany,,Finance,38,$6.4M,113%
4403,ZincFive,Portland,USA,$139M,Environmen...,100,$21M,9%
4404,Night,Los Angele...,USA,,Entertainm...,248,$55.9M,68%
4405,Addigy Technolo...,Miami,USA,,Tech Servi...,80,$11.6M,10%
4406,Kare,Houston,USA,,Hospital/H...,635,$214.3M,28%
4407,Construction Pa...,Dothan,USA,,Constructi...,78,$910.7M,24%
4408,Camena Bioscien...,Cambridge,,$10M,Biotech,31,$2.4M,79%
4409,ROVOP,Aberdeen,UK,$102M,Energy/Oil,341,$106.1M,14%
4410,Sydecar,San Franci...,USA,$16.4M,Venture Ca...,53,$0,39%
4411,Sweatcoin,London,UK,$20.2M,Tech Servi...,195,$30.4M,10%
4412,American Brain ...,Chicago,USA,,Edtech,60,$7.6M,10%
4413,AmeriVet Securi...,New York C...,USA,,Finance,60,$11.3M,9%
4414,OEG Offshore,Aberdeen,UK,,Energy/Oil,384,$117.6M,14%
4415,Viirtue,Orlando,USA,,Telecom,46,$12M,41%
4416,Stack AV,Pittsburgh,USA,$1B,Transporta...,207,$73M,81%
4417,Royal United Se...,London,UK,,Think Tank...,369,$15M,13%
4418,Fire Safety and...,Atlanta,USA,,Facilities,65,$14M,84%
4419,Onpoint Industr...,Houston,USA,,Oil and Ga...,790,$35M,6%
4420,Antheia,Silicon Va...,USA,$90.4M,Biotech,71,$5.5M,9%
4421,saturn petcare ...,Terre Haut...,USA,,Food,59,$14.3M,110%
4422,Harmonya,New York C...,,$25M,Software,39,$4.7M,37%
4423,Clerk-Tech,Toronto,CAN,,Outsourcin...,59,$0,111%
4424,Tailored Access,Annapolis ...,,,Tech Servi...,59,$7.7M,111%
4425,SHEIN Distribut...,Los Angele...,USA,,Retail,833,$264.7M,80%
4426,Echodyne Corp,Seattle,USA,$202M,Electronic...,166,$43.7M,10%
4427,Mappedin,Waterloo,CAN,$7M,Tech Servi...,103,$14.9M,10%
4428,VanDeMark Chemi...,Lockport,USA,,Chemicals,61,$0,9%
4429,Azurative,Dallas,USA,,Tech Servi...,32,$3.7M,41%
4430,AUDIOSCENIC,Southampto...,,,3D,32,$4.4M,42%
4431,Ottometric,Boston,,$4.9M,Data Infra...,32,$0,39%
4432,SportsVisio,,,$6.1M,Software,32,$3.9M,36%
4433,Tillman Digital...,New York C...,,,Telecom,32,$7.9M,36%
4434,Modern Language...,New York C...,USA,,Publishing,146,$39M,9%
4435,Tradewind,New York C...,USA,$7.5M,Finance,231,$52.1M,10%
4436,Xpert Direct,Direct Hir...,Spain,,Recruiting,40,$3.8M,105%
4437,HYDRINITY,Monroe,USA,,Personal C...,40,$0,111%
4438,Climate Arc,London,UK,,Philanthro...,40,$0,111%
4439,SSF - Service d...,,France,,Armed Forc...,40,$0,111%
4440,Women in Scienc...,Toronto,CAN,,Non-profit...,40,$0,111%
4441,Accounting Summ...,Hamburg,Germany,,Accounting,40,$5.2M,118%
4442,Lynxmind,Lisboa,Portugal,,Tech Servi...,40,$4.6M,111%
4443,Steward and Hel...,,USA,,Real Estat...,40,$4.8M,112%
4444,JS Perkins Cons...,Washington...,USA,,Consulting,40,$7M,112%
4445,ADDiTEC,Palm City,USA,,Manufactur...,40,$0,107%
4446,Brain Corp,San Diego,USA,$193M,Robotics,314,$115.6M,13%
4447,HatchWorks,Atlanta,USA,,Tech Servi...,136,$19.7M,10%
4448,SEP,CARMEL,USA,,Tech Servi...,630,$114.2M,99%
4449,PayNearMe,Silicon Va...,USA,$153M,Fintech,232,$32.4M,10%
4450,Product Develop...,,USA,,Research,243,$27.3M,81%
4451,AstriVax,Heverlee,Belgium,,Biotech,40,$6.2M,83%
4452,Zafrens,San Diego,USA,,Biotech,40,$6.2M,83%
4453,Osborne Clarke ...,Berlin,Germany,,Legal,287,$85.2M,10%
4454,Ellis Recruitme...,Woking,UK,,Staffing &...,105,$3.5M,9%
4455,B2B Industrial ...,Addison,USA,,Packaging,105,$75M,10%
4456,Vibe.co,Chicago,USA,,Advertisin...,50,$0,39%
4457,SiftMed,St John’s,,,Software,25,$2M,41%
4458,afandco.,San Franci...,USA,,PR/Comm,336,$98.3M,85%
4459,One,Folsom,USA,,Tech Servi...,458,$83M,17%
4460,ngrok,San Franci...,USA,,Networking,84,$25.2M,10%
4461,Cincinnati Enqu...,Columbus,USA,,Marketing,406,$126.9M,89%
4462,Treasure Island...,Welch,USA,,Casinos,758,$35M,6%
4463,MAM Originals,Barcelona,Spain,,Consumer,241,$66.5M,81%
4464,Boulder Care,Portland,USA,$50M,Hospital/H...,117,$31.6M,9%
4465,Fairchild Equip...,Green Bay,USA,,Machinery,226,$87.8M,10%
4466,Revolving Games,San Franci...,USA,,Gaming,139,$28.1M,9%
4467,Core Bank,Omaha,USA,,Banking,150,$34.6M,10%
4468,Longhorn Imagin...,Austin,USA,,Medical Pr...,43,$0,39%
4469,Surefire Cyber,Remote,,$10M,Computer a...,43,$0,39%
4470,Dynamic Planner,Reading,UK,,Finance,205,$47.4M,10%
4471,Effectual,New York C...,USA,$17.5M,Tech Servi...,224,$34.9M,4%
4472,3P Learning,Houston,USA,,Learning,22,$2.5M,11%
4473,FeelAgile,Menneval,France,,Tech Servi...,42,$4.9M,111%
4474,Bandara,Zürich,SWI,,Tech Servi...,42,$4.9M,111%
4475,Forest River Bu...,Goshen,USA,,Automotive,42,$11.1M,106%
4476,PrimeX Broker,Sydenham,South Africa,,Finance,42,$7.1M,106%
4477,netvaerk,Köln,Germany,,Recruiting,42,$4M,105%
4478,Astria Digital,Bengaluru,IND,,Tech Servi...,42,$2.4M,111%
4479,Upward Health,Providence,USA,,Digital He...,207,$31.9M,9%
4480,FeedMore,Richmond,USA,,NonProfit,174,$15M,10%
4481,Gynesonics,Silicon Va...,USA,$283M,Medical Eq...,163,$51.1M,10%
4482,Packback,Chicago,USA,$11.1M,EdTech,152,$22.9M,10%
4483,Erie Bank,Erie,USA,,Banking,141,$32.6M,10%
4484,SafeAI,Silicon Va...,USA,,Tech Servi...,119,$17.3M,9%
4485,Moving,,,,Finance,199,$46M,80%
4486,MVPindex,Austin,USA,$27M,Martech,97,$13.6M,8%
4487,Ralawise,Deeside,UK,,Wholesale,219,$300M,9%
4488,Sparrow,New York C...,USA,,Tech Servi...,36,$4.2M,40%
4489,Cambridge and C...,Leicester,UK,,Banking,242,$55.9M,10%
4490,Watchtower Secu...,St Louis,USA,,Tech Servi...,142,$22.6M,10%
4491,Taziki's Medite...,Chattanoog...,USA,,Restaurant...,36,$5M,25%
4492,Weave Grid,San Franci...,USA,,Analytics,98,$13.7M,10%
4493,CPM,Minneapoli...,USA,,Manufactur...,684,$0,27%
4494,Fibracast Ltd.,Hannon,CAN,,Environmen...,76,$16M,8%
4495,Boutiq,Sydney,AUS,,Leisure,110,$27.8M,82%
4496,Orion Group,New York C...,USA,,Facilities,110,$26.3M,80%
4497,Opifex,Austin,USA,,Constructi...,47,$10.4M,41%
4498,Better Together,Naples,,,Individual...,47,$0,38%
4499,Andes,East Bay,,$26.1M,Biotech,212,$41.1M,9%
4500,RP Automotive,Colorado S...,USA,,Automotive,335,$138.2M,85%
4501,Horizon Blockch...,Toronto,CAN,$53.2M,Gaming,156,$33.9M,10%
4502,InHome Therapy,,,,Hospital/H...,190,$56.4M,9%
4503,Stein Fibers,Albany,USA,,Textiles,77,$75M,8%
4504,EO Charging,Stowmarket,UK,,Automotive,236,$85.7M,9%
4505,Simon Sinek,New York C...,United State,,Business S...,497,$3.5M,88%
4506,Unravel,Silicon Va...,USA,$108M,DevOps,144,$21.7M,5%
4507,PPP,,Belgium,,Transporta...,157,$56.6M,81%
4508,Flyscan Systems,Quebec,,,Environmen...,29,$3M,40%
4509,Mobilo,New York C...,,$4.1M,Software,58,$8.1M,38%
4510,Work Shield,Dallas,USA,,HR,29,$4.1M,40%
4511,Ixana,West Lafay...,USA,,Computers ...,29,$0,38%
4512,EES,Nashville,USA,,Events,44,$7.2M,105%
4513,Magic,Cambridge,,$83M,Software,29,$2.3M,40%
4514,ICloudLogic,Raleigh Du...,USA,,Tech Servi...,44,$5.1M,110%
4515,Community Inves...,Chesapeake,USA,,Investment...,29,$4.6M,42%
4516,Code Gaia,Munich,Germany,,Tech Servi...,44,$5.1M,110%
4517,National Recrui...,Dallas,USA,,Recruiting,44,$4.2M,105%
4518,Ratio,Silicon Va...,,$11M,Finance,29,$3M,40%
4519,L.E.A.D. - Law ...,Allentown,USA,,Nonprofit,38,$0,76%
4520,Platō Coffee,Pretoria,South Africa,,Retail,44,$8M,106%
4521,Accounting Prof...,,USA,,Accounting,573,$116.7M,92%
4522,Bank of Luxembu...,Luxemburg,USA,,Banking,123,$25.8M,9%
4523,Realty Solution...,Austin,USA,,Real Estat...,90,$13.5M,82%
4524,Dandurand Group,Westmount,Canada,,Beverage M...,90,$1.7M,80%
4525,Top Aces,Dorval,CAN,$100M,Aviation,475,$148.4M,16%
4526,Instinct Scienc...,Philadelph...,USA,,Veterinary,78,$7.5M,8%
4527,Aptivio,New York C...,USA,,Tech Servi...,61,$8M,79%
4528,Probely,Lisbon,,,SaaS,40,$4.5M,39%
4529,RevenueHero,Claymont,,$5.1M,Software,40,$4.9M,36%
4530,LegalMation,Orange Cou...,USA,$23M,Legal,40,$8.2M,36%
4531,Altitude Angel,Reading,UK,,Aviation,67,$14.8M,9%
4532,PUBLIC TRUST AD...,Denver,USA,,Finance,102,$21.4M,9%
4533,Eddisons,,UK,,Real Estat...,300,$49.5M,9%
4534,Visu-Sewer Clea...,Racine,USA,,Utilities,126,$27.7M,9%
4535,Market Performa...,Princeton ...,USA,,Consulting,460,$126.5M,16%
4536,MoCaFi (Mobilit...,New York C...,USA,,Fintech,68,$8M,8%
4537,Global Clearing,Orlando,USA,,Tech Servi...,79,$11.5M,81%
4538,Dalkia UK,Staines-up...,UK,,Engineerin...,732,$0,104%
4539,Stonehouse Capi...,Johannesbu...,South Africa,,Finance,46,$7.7M,111%
4540,Doughbird,Phoenix,USA,,Restaurant...,46,$6.4M,111%
4541,KAIZEN Made Eas...,Melbourne,Australia,,Learning,46,$6.1M,105%
4542,Magnate Worldwi...,Portland,USA,,Logistics,24,$5.1M,11%
4543,CAIRUS,Paris,France,,Finance,46,$7.7M,111%
4544,UCEA - Family O...,London,Portugal,,Finance,46,$7.7M,111%
4545,Scoutnet,Ballito,South Africa,,Telephone ...,46,$0,109%
4546,Vyne Dental,Atlanta,USA,,Tech Servi...,171,$27.3M,22%
4547,Whittier Street...,Boston,USA,,Hospital/H...,257,$76.3M,9%
4548,Gladly,San Franci...,USA,$168M,Support/CR...,210,$31.6M,9%
4549,FX Matt Brewing...,Utica,USA,,Food,92,$24.8M,8%
4550,ICEYE,Espoo,Fin,,Defense an...,606,$0,26%
4551,PIRTEK USA,Rockledge,USA,,Engineerin...,246,$27.1M,9%
4552,Green Home Solu...,State Coll...,USA,,Environmen...,175,$40.4M,9%
4553,Droneseed,Seattle,USA,,Biotech,104,$16.1M,8%
4554,Innovative Solu...,,USA,,Marketing,88,$22M,79%
4555,Arisa Health,Springdale,USA,,Health,324,$109.3M,12%
4556,JIFU,Boise,,,Training,583,$120.2M,91%
4557,Fearless,Baltimore,USA,,Analytics,315,$55.1M,12%
4558,LTZ Therapeutic...,Silicon Va...,,$27M,Biotech,33,$2.6M,35%
4559,Yendo,Dallas,USA,$35.5M,Fintech,55,$6.4M,39%
4560,Tango Specialty...,,,,Insurance,33,$5.5M,35%
4561,Cloudchipr,Philadelph...,,$125K,Tech Servi...,22,$1.6M,40%
4562,Lama AI,,,$9M,Finance,22,$2.3M,40%
4563,EpiBiologics,Silicon Va...,,$73M,Biotech,33,$2.6M,35%
4564,Mayan,Las Vegas,,,Software,55,$7.7M,37%
4565,Acurable,London,,$13.6M,Medical,33,$0,35%
4566,Xembly,Seattle,USA,$20M,Software,55,$7.7M,37%
4567,Luna Daily,London,,$3.7M,Manufactur...,22,$0,40%
4568,NumberOne AI,,,$13M,Software,22,$1.8M,40%
4569,Born This Way F...,New York C...,USA,,Civil,69,$20.1M,8%
4570,EOTECH,Detroit,USA,,Retail,165,$41.2M,8%
4571,SilverLining,Washington...,USA,,Research,171,$19.2M,80%
4572,Jericho Project,New York C...,USA,,Civil,201,$71.4M,9%
4573,First Farmers a...,Columbia,USA,,Banking,472,$123.9M,2%
4574,MetroNational,Houston,USA,,Real Estat...,190,$31.4M,9%
4575,SteelEye,London,UK,$43M,Fintech,118,$15.3M,8%
4576,Superior Van an...,Louisville,USA,,Automotive,118,$38.9M,8%
4577,Wright Physical...,Jerome,USA,,Health,106,$28.6M,9%
4578,Fayette County ...,Fayettevil...,USA,,Education,48,$6.9M,111%
4579,Erco Energy,San Antoni...,USA,,Energy,48,$0,109%
4580,LGMG North Amer...,Chambersbu...,USA,,Manufactur...,48,$0,106%
4581,Chicago Switchb...,Chicago,,,Electronic...,25,$3.1M,9%
4582,New World Realt...,,USA,,Real Estat...,48,$5.8M,110%
4583,Conquest Planni...,Winnipeg,,$28.4M,Tech Servi...,131,$19M,9%
4584,Kent and Medway,Chatham,UK,,Hospital/H...,142,$42.2M,80%
4585,ProFusion Indus...,Fairlawn,USA,,Plastics,83,$7.5M,7%
4586,VONA Case Manag...,Daphne,USA,,Hospital/H...,83,$22.4M,7%
4587,Rantizo,Iowa City,USA,,Farming,48,$0,36%
4588,OutThink,London,UK,,IT Securit...,48,$7.8M,39%
4589,Strados Labs,Philadelph...,USA,,Digital He...,48,$5.4M,38%
4590,OpenAPTV,New York C...,USA,,AdTech,48,$6.1M,38%
4591,Key Data Dashbo...,Santa Rosa...,USA,,Analytics,71,$8.9M,8%
4592,Modern Family L...,Denver,USA,,Legal,98,$26.5M,51%
4593,Business Impact...,,USA,,Consulting,86,$18.9M,77%
4594,Stylo,Boulder,,$3M,Software,37,$4.5M,35%
4595,Telesair,Orange Cou...,,,Medical,37,$0,35%
4596,Qortex,New York C...,USA,,Software,37,$4.7M,38%
4597,Port of Milford...,Milford Ha...,UK,,Energy/Oil,183,$49.3M,9%
4598,xDesign,Edinburgh,UK,,Tech Servi...,569,$103.1M,19%
4599,Mid-States Bolt...,Burton,USA,,Logistics,109,$33.2M,8%
4600,Organic Trade A...,Washington...,USA,,NonProfit,72,$7.5M,8%
4601,Second Avenue,Chicago,USA,,Real Estat...,147,$24.3M,8%
4602,Spribe,Kiev,,,Tech Servi...,149,$23.8M,79%
4603,LeanTakt,Phoenix,USA,,Constructi...,50,$11.6M,106%
4604,Samsung Germany,Schwalbach,Germany,,Electronic...,50,$9.8M,114%
4605,Ann's Home Care...,Dublin,IE,,Home Healt...,50,$0,108%
4606,tepeo,Winnersh,,$16.4M,Energy,52,$0,37%
4607,Gynger,New York C...,,$11.7M,Finance,26,$2.7M,39%
4608,Boomerang,Miami,USA,,Technology...,52,$0,37%
4609,Carter,London,,$955K,Software,26,$2.1M,39%
4610,Sky Engine,London,UK,,3D,52,$8M,34%
4611,Unity SCM,Silicon Va...,,,Tech Servi...,26,$2.6M,39%
4612,Flybox,London,,,Oil and Ga...,26,$0,37%
4613,Discovery Senio...,Bonita Spr...,USA,,Real Estat...,619,$116.1M,25%
4614,Branching Minds,New York C...,USA,,Analytics,123,$17.2M,8%
4615,123 Dentist,Vancouver,CAN,$57.2M,Medical Of...,434,$148.8M,16%
4616,Gero,Ð¡Ð¸Ð½Ð³Ð°...,,,AI,136,$19M,8%
4617,Harpoon Therape...,San Franci...,USA,$130M,Pharma,63,$26.8M,13%
4618,Care Continuity,Dallas,USA,,Hospital/H...,112,$30.2M,7%
4619,CCR Wealth Mana...,Boston,USA,,Finance,41,$6.9M,36%
4620,Pico MES,San Franci...,USA,,Analytics,41,$4.6M,36%
4621,4CRisk.ai,San Franci...,USA,$8M,Software,41,$5M,34%
4622,Yup,New York C...,USA,,Tech Servi...,432,$78.3M,87%
4623,Kahuna Workforc...,Houston,,,Tech Servi...,56,$7.3M,38%
4624,ShadowDragon,Cheyenne,,,IT Securit...,56,$9.9M,36%
4625,Unloop Accounti...,New York C...,USA,,Accounting,52,$7.6M,109%
4626,FM Payments,Vancouver,CAN,,Finance,52,$9.8M,105%
4627,Samsung Enginee...,,IND,,Oil and Ga...,52,$0,108%
4628,Build A Rocket ...,Edinburgh,UK,,Gaming,454,$114.6M,15%
4629,CorMedix,Bedminster,USA,$11.5M,Pharma,84,$7.5M,78%
4630,American Land T...,Washington...,USA,,Real Estat...,75,$10.1M,6%
4631,Iceotope,Sheffield,,,Tech Servi...,75,$9.8M,7%
4632,Basilea,Basel,,,Fintech,256,$36.6M,8%
4633,Gun.io,Nashville,USA,,Tech Servi...,101,$14.6M,8%
4634,Schill Grounds ...,North Ridg...,USA,,Facilities,101,$24.1M,7%
4635,Modot Motor Car...,Cameron,USA,,Transporta...,101,$33.1M,8%
4636,Cricket.com,,,,AI,484,$84.7M,87%
4637,The Roosevelt N...,New Orlean...,USA,,Hospitalit...,66,$15.1M,77%
4638,ClearBank,London,UK,$477M,Fintech,681,$112.4M,25%
4639,Greenly,Paris,France,,Environmen...,271,$62.6M,8%
4640,Lumiq.ai,Noida,IND,,Tech Servi...,347,$31.4M,11%
4641,RedKey Realty L...,St Louis,USA,,Real Estat...,193,$31.8M,7%
4642,The Paley Cente...,New York C...,USA,,Museums,193,$15M,8%
4643,XDuce,Edison,USA,,Tech Servi...,180,$28.7M,7%
4644,Emitrr,New York C...,USA,,AI,45,$5M,35%
4645,KaiPod Learning...,Boston,,,Education,30,$4.1M,38%
4646,Vitori Health,Cleveland,USA,,Health,45,$9.7M,37%
4647,Dolly Parton's ...,,,,Philanthro...,30,$7.5M,33%
4648,StructShare,New York C...,USA,,Tech Servi...,45,$5.2M,34%
4649,Drone Express,Dayton,,$3.89M,Trucking,30,$0,36%
4650,Idemitsu Renewa...,San Franci...,USA,,Environmen...,45,$7.6M,36%
4651,tem.,London,,,Energy,30,$0,36%
4652,GreenFirst Fore...,Toronto,CAN,,Paper,246,$15M,8%
4653,Western Investm...,,CAN,,Finance,163,$37.7M,79%
4654,Upland Brewing ...,Bloomingto...,USA,,Food,194,$57.6M,8%
4655,Brownsville Pub...,Brownsvill...,USA,,Utilities,286,$69.2M,8%
4656,Vanair,Michigan C...,USA,,Utilities,155,$37.5M,7%
4657,TradingHub,London,UK,,Tech Servi...,155,$24.7M,8%
4658,Assured Allies,Boston,USA,,Fintech,142,$20.3M,8%
4659,P1 Service,Kansas Cit...,USA,,Repair and...,54,$0,108%
4660,Avelios,,,,AI,54,$6.8M,108%
4661,Purdue Applied ...,West Lafay...,USA,,Research,54,$5M,108%
4662,Data Entry Serv...,Los Angele...,USA,,Administra...,345,$0,83%
4663,CQL,Northview,USA,,Tech Servi...,103,$14.9M,8%
4664,MSCHF,New York C...,USA,,Dairy,127,$3.5M,79%
4665,Nusano,Los Angele...,USA,,Research,118,$12M,79%
4666,IP Fabric,Prague,,,Analytics,117,$16.4M,7%
